drift_event_id,is_anomaly,anomaly_type,gt_severity,gt_explanation
DRF00759,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00879,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00614,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00615,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 336 days.
DRF00586,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-53 — attack surface increased.
DRF00788,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00760,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00640,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 334 days.
DRF00694,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-67 — exposure risk.
DRF00891,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00971,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00960,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00663,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-30 — monitoring blind spot.
DRF00573,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00822,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-84 — attack surface increased.
DRF00729,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-23 — attack surface increased.
DRF00946,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00749,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00853,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00838,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00543,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-56 — monitoring blind spot.
DRF00778,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00720,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00913,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00834,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-2 — exposure risk.
DRF00963,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00716,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00902,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 317 days.
DRF00620,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00747,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00784,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00713,True,PROTECTION_DISABLED,High,Endpoint control disabled vs baseline and unresolved.
DRF00692,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00939,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-92 — monitoring blind spot.
DRF00870,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00927,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00805,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00935,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00790,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00958,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00642,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00676,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-57 — attack surface increased.
DRF00643,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00685,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00703,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-1 — exposure risk.
DRF00820,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00969,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00823,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-43 — attack surface increased.
DRF00681,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-97 — exposure risk.
DRF00722,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00854,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00830,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00764,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00514,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-28 — attack surface increased.
DRF00566,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00708,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-57 — exposure risk.
DRF00677,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-85 — attack surface increased.
DRF00931,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00511,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00655,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00917,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00505,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00697,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-78 — exposure risk.
DRF00723,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-80 — attack surface increased.
DRF00733,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 296 days.
DRF00707,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00993,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00814,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00646,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00683,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00617,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00567,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-30 — monitoring blind spot.
DRF00859,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00690,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-2 — attack surface increased.
DRF00619,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-42 — monitoring blind spot.
DRF00531,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00850,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00518,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00880,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-68 — exposure risk.
DRF00568,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00687,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-12 — attack surface increased.
DRF00545,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00626,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00979,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-3 — monitoring blind spot.
DRF00904,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00980,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00783,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00951,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-61 — attack surface increased.
DRF00865,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00706,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-11 — attack surface increased.
DRF00930,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 280 days.
DRF00582,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00885,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 278 days.
DRF00842,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-82 — monitoring blind spot.
DRF00651,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00841,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00625,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-92 — attack surface increased.
DRF00771,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 277 days.
DRF00972,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-80 — attack surface increased.
DRF00840,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00604,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00844,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00769,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-82 — exposure risk.
DRF00932,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00593,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00813,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00945,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00868,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00748,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-69 — exposure risk.
DRF00579,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-81 — attack surface increased.
DRF00732,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00909,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00589,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00750,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00710,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00538,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00886,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-48 — exposure risk.
DRF00644,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00575,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00541,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00657,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00896,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-88 — monitoring blind spot.
DRF00702,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-14 — exposure risk.
DRF00893,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 264 days.
DRF00957,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00553,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00857,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00670,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00565,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-89 — exposure risk.
DRF00668,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-97 — exposure risk.
DRF00992,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 259 days.
DRF00785,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00781,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00767,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00787,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00768,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-93 — attack surface increased.
DRF00995,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00966,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00558,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00776,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-32 — attack surface increased.
DRF00516,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00867,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 255 days.
DRF00671,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00731,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00563,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00938,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-41 — exposure risk.
DRF00905,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00967,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00664,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 254 days.
DRF00888,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00883,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00777,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00607,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00606,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 250 days.
DRF00623,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00525,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00641,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00982,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00981,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00926,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-75 — attack surface increased.
DRF00990,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00874,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-67 — exposure risk.
DRF00860,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-58 — attack surface increased.
DRF00976,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-61 — attack surface increased.
DRF00539,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-39 — attack surface increased.
DRF00549,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00576,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-8 — attack surface increased.
DRF00826,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00695,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-99 — attack surface increased.
DRF00523,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00983,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 243 days.
DRF00630,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00569,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 242 days.
DRF00907,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 242 days.
DRF00611,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00596,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00827,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00691,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 238 days.
DRF00736,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00766,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00595,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00765,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-47 — monitoring blind spot.
DRF00921,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 237 days.
DRF00752,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00557,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-13 — attack surface increased.
DRF00871,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 236 days.
DRF00701,True,PROTECTION_DISABLED,High,Vulnerability control disabled vs baseline and unresolved.
DRF00742,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-38 — exposure risk.
DRF00598,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00621,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-65 — exposure risk.
DRF00524,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00961,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00897,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00570,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-52 — attack surface increased.
DRF00753,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00547,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00845,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 229 days.
DRF00770,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00594,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00744,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00588,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-3 — attack surface increased.
DRF00737,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-60 — monitoring blind spot.
DRF00601,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00712,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-91 — attack surface increased.
DRF00900,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 225 days.
DRF00536,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00751,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00665,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00704,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00758,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-11 — attack surface increased.
DRF00546,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00968,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-42 — exposure risk.
DRF00666,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00811,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-70 — exposure risk.
DRF00912,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-10 — attack surface increased.
DRF00839,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00793,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-70 — exposure risk.
DRF00762,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00940,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00627,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-25 — attack surface increased.
DRF00812,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00817,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 219 days.
DRF00564,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00987,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 218 days.
DRF00800,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00636,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-84 — exposure risk.
DRF00624,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-97 — monitoring blind spot.
DRF00916,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-62 — monitoring blind spot.
DRF00782,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00680,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00519,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00756,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-54 — monitoring blind spot.
DRF00688,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 210 days.
DRF00540,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 209 days.
DRF00583,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-98 — monitoring blind spot.
DRF00835,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00952,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-5 — monitoring blind spot.
DRF00910,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-36 — attack surface increased.
DRF00833,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00802,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00755,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-38 — monitoring blind spot.
DRF00774,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00872,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00836,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00922,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00610,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-33 — attack surface increased.
DRF00530,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00831,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00542,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00629,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00882,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 199 days.
DRF00599,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00648,True,PROTECTION_DISABLED,High,DLP control disabled vs baseline and unresolved.
DRF00856,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00556,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00779,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-50 — attack surface increased.
DRF00559,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-96 — attack surface increased.
DRF00772,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00997,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00502,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 194 days.
DRF00637,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 193 days.
DRF00682,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00554,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00804,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00869,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00975,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-81 — attack surface increased.
DRF00962,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00609,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00973,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00959,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00510,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00544,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-29 — attack surface increased.
DRF00678,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00933,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 187 days.
DRF00894,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00743,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00673,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00658,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00819,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-95 — monitoring blind spot.
DRF00740,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 181 days.
DRF00890,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-40 — exposure risk.
DRF00508,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 179 days.
DRF00500,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00577,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00631,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-74 — monitoring blind spot.
DRF00986,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00795,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00529,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 177 days.
DRF00955,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00999,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-61 — monitoring blind spot.
DRF00851,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00535,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00852,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00719,True,PROTECTION_DISABLED,High,Cloud_Security control disabled vs baseline and unresolved.
DRF00757,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00512,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00618,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-52 — attack surface increased.
DRF00515,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-21 — attack surface increased.
DRF00639,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-79 — monitoring blind spot.
DRF00923,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00864,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00578,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-65 — attack surface increased.
DRF00669,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-5 — attack surface increased.
DRF00796,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-68 — attack surface increased.
DRF00552,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 165 days.
DRF00985,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-45 — exposure risk.
DRF00622,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-18 — attack surface increased.
DRF00602,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 162 days.
DRF00580,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 162 days.
DRF00653,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00746,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00521,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00735,False,BENIGN,None,Routine approved change consistent with baseline.
